"","screenName","text","retweetCount","favoriteCount","score","absolute_score","lon","lat"
"1","___shanie","RT @MrGrigsby_: Listen. My favorite artist is better than your favorite artist.  Thank you @CrisLaNiese again for this customized #BEYCHELL…",13,0,4,4,NA,NA
"2","_feb17th","#BeyChella #Coachella2018 #Beyonce 

What You Think? https://t.co/J5zQG84h7e",6,6,0,0,NA,NA
"3","_Maytexo","RT @Keith_McPherson: <ed><U+00A0><U+00BE><ed><U+00B7><U+009F><U+200D><U+2642><U+FE0F>“Bounce” - @flatbushzombies @meechisdead @ZOMBIEJuicee @coachella #flatbushzombies #fbz #zombiegang #day2 #flatbus…",1504,0,0,0,NA,NA
"4","_MochaIce","RT @_feb17th: #BeyChella #Coachella2018 #Beyonce 

What You Think? https://t.co/J5zQG84h7e",6,0,0,0,NA,NA
"5","_mpresssive","RT @1jalennnn: LEGENDARY!!! #BEYCHELLA #Coachella2018 #HBEYCU <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BE><ed><U+00B4><U+00AB> killed THAT! https://t.co/sDVc03K19h",229,0,0,0,-80.8431267,35.2270869
"6","0123Santhosh","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,77.3410656,11.1085242
"7","0831bri","RT @MichaelBlackson: Why ya ain’t tell #Coachella2018 was over, I just got here and ain’t nobody in this beech",22,0,0,0,-79.9958864,40.4406248
"8","1988PANDIYARAJ","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,80.2707184,13.0826802
"9","1nfamous_misfit","RT @LilWayneHQ: During #Coachella2018, @PostMalone met @LilTunechi for the very first time: https://t.co/906uQu3uYM",2,0,0,0,-95.7150582,37.0901287
"10","2020mag","RT @PolaroidSun: The new PLD 6047/S/X interpreted by @theOliviaJordan. #Thanks #PolaroidEyewear #Coachella #Coachella2018 #Festival #Califo…",2,0,0,0,NA,NA
"11","3bWUaBHuJQ359Be","RT @heyitzLou: .@XJapanOfficial was definitely the best act I saw at @coachella this year. #xjapan #yoshiki #coachella #<U+30B3><U+30FC><U+30C1><U+30A7><U+30E9> #Coachella201…",551,0,1,1,NA,NA
"12","3WMcomms","@powersoft_audio M-Force and @ratsoundsystems SuperSub take low frequency to new levels at #Coachella2018 … https://t.co/uzgpHBn7D1",0,0,0,0,-0.1277583,51.5073509
